rama_ciiu,empleo,periodo,ano,mes,salario_promedio
31,217828.378920722,2025-12,2025,12,1432996.0
32,144240.633335059,2025-12,2025,12,3220519.0
33,86625.95086017699,2025-12,2025,12,2102851.0
35,94444.772255624,2025-12,2025,12,4216859.0
36,46945.345005998,2025-12,2025,12,2311406.0
37,1276.91738107,2025-12,2025,12,2457023.0
38,134499.297847415,2025-12,2025,12,1154094.0
39,3463.5459232000003,2025-12,2025,12,1704774.0
41,1127785.928575489,2025-12,2025,12,1582600.0
42,176285.179983039,2025-12,2025,12,2183967.0
43,326330.873101985,2025-12,2025,12,1502922.0
45,639665.416140148,2025-12,2025,12,2311899.0
46,473609.710447616,2025-12,2025,12,3315771.0
47,3148428.889867397,2025-12,2025,12,1604611.0
49,1269826.127356318,2025-12,2025,12,1505725.0
50,12571.415294683,2025-12,2025,12,3344279.0
51,25786.617665280002,2025-12,2025,12,7361005.0
52,249220.599115757,2025-12,2025,12,1683263.0
53,176582.575111928,2025-12,2025,12,1470148.0
55,130853.995640226,2025-12,2025,12,1840668.0
56,1764539.6229594,2025-12,2025,12,1212728.0
58,23836.59592185,2025-12,2025,12,3474984.0
59,27918.888561633,2025-12,2025,12,8666845.0
60,24496.144209728,2025-12,2025,12,3120278.0
61,134300.115473221,2025-12,2025,12,2378376.0
62,166040.138031919,2025-12,2025,12,4435067.0
63,14597.69564927,2025-12,2025,12,8929435.0
64,263327.204943642,2025-12,2025,12,4388444.0
65,132205.81450180899,2025-12,2025,12,6093745.0
66,23184.655880497,2025-12,2025,12,3463099.0
68,355815.568490058,2025-12,2025,12,2082384.0
69,237253.156061502,2025-12,2025,12,3800595.0
70,63299.456074934,2025-12,2025,12,2878526.0
71,163114.968196333,2025-12,2025,12,4609305.0
72,6162.792885668,2025-12,2025,12,3976421.0
73,117168.186565167,2025-12,2025,12,3744702.0
74,64354.59398336,2025-12,2025,12,3869324.0
75,33743.061470305,2025-12,2025,12,2370128.0
77,39488.467981379,2025-12,2025,12,1283690.0
78,37094.526457082,2025-12,2025,12,2254618.0
79,37107.586597563,2025-12,2025,12,2745139.0
80,153380.448869166,2025-12,2025,12,2452463.0
81,634647.275312163,2025-12,2025,12,859118.0
82,328329.458690894,2025-12,2025,12,2221275.0
84,895917.666152212,2025-12,2025,12,4691919.0
85,937769.699254513,2025-12,2025,12,3631363.0
86,915999.228188187,2025-12,2025,12,3258577.0
87,30204.085986671,2025-12,2025,12,1827211.0
88,119963.08765668901,2025-12,2025,12,1457253.0
90,67912.983160742,2025-12,2025,12,1930478.0
91,17025.372674991,2025-12,2025,12,2349609.0
92,95277.799781789,2025-12,2025,12,1075658.0
93,130325.837088933,2025-12,2025,12,1601752.0
94,151320.14361464,2025-12,2025,12,3564699.0
95,257704.043694821,2025-12,2025,12,996598.0
96,690021.184993618,2025-12,2025,12,1254996.0
97,706177.104926923,2025-12,2025,12,1159192.0
99,3773.439034468,2025-12,2025,12,4640438.0
1,3082066.227878882,2026-01,2026,1,1180832.0
2,28575.965838679,2026-01,2026,1,791836.0
